Time 1-10.1.2.2-10.1.1.2 Aggregate-Flow
0.000000 0.040217 0.040217
0.010000 0.040199 0.040199
0.020000 0.040200 0.040200
0.030000 0.040196 0.040196
0.040000 0.040194 0.040194
0.050000 0.040197 0.040197
0.060000 0.040193 0.040193
0.070000 0.040195 0.040195
0.080000 0.040194 0.040194
0.090000 0.040195 0.040195
0.100000 0.040194 0.040194
0.110000 0.040195 0.040195
0.120000 0.040192 0.040192
0.130000 0.040193 0.040193
0.140000 0.040192 0.040192
0.150000 0.040193 0.040193
0.160000 0.040192 0.040192
0.170000 0.040192 0.040192
0.180000 0.040193 0.040193
0.190000 0.040194 0.040194
0.200000 0.040196 0.040196
0.210000 0.040196 0.040196
0.220000 0.040197 0.040197
0.230000 0.040203 0.040203
0.240000 0.040194 0.040194
0.250000 0.040196 0.040196
0.260000 0.040193 0.040193
0.270000 0.040193 0.040193
0.280000 0.040196 0.040196
0.290000 0.040192 0.040192
0.300000 0.040196 0.040196
0.310000 0.040192 0.040192
0.320000 0.040195 0.040195
0.330000 0.040201 0.040201
0.340000 0.040207 0.040207
0.350000 0.040202 0.040202
0.360000 0.040209 0.040209
0.370000 0.040210 0.040210
0.380000 0.040205 0.040205
0.390000 0.040197 0.040197
0.400000 0.040194 0.040194
0.410000 0.040196 0.040196
0.420000 0.040192 0.040192
0.430000 0.040192 0.040192
0.440000 0.040193 0.040193
0.450000 0.040194 0.040194
0.460000 0.040195 0.040195
0.470000 0.040194 0.040194
0.480000 0.040194 0.040194
0.490000 0.040193 0.040193
0.500000 0.040194 0.040194
0.510000 0.040195 0.040195
0.520000 0.040193 0.040193
0.530000 0.040195 0.040195
0.540000 0.040194 0.040194
0.550000 0.040194 0.040194
0.560000 0.040191 0.040191
0.570000 0.040195 0.040195
0.580000 0.040193 0.040193
0.590000 0.040193 0.040193
0.600000 0.040195 0.040195
0.610000 0.040194 0.040194
0.620000 0.040194 0.040194
0.630000 0.040193 0.040193
0.640000 0.040192 0.040192
0.650000 0.040196 0.040196
0.660000 0.040195 0.040195
0.670000 0.040194 0.040194
0.680000 0.040192 0.040192
0.690000 0.040196 0.040196
0.700000 0.040193 0.040193
0.710000 0.040193 0.040193
0.720000 0.040195 0.040195
0.730000 0.040195 0.040195
0.740000 0.040195 0.040195
0.750000 0.040196 0.040196
0.760000 0.040194 0.040194
0.770000 0.040194 0.040194
0.780000 0.040195 0.040195
0.790000 0.040193 0.040193
0.800000 0.040195 0.040195
0.810000 0.040197 0.040197
0.820000 0.040194 0.040194
0.830000 0.040195 0.040195
0.840000 0.040196 0.040196
0.850000 0.040193 0.040193
0.860000 0.040194 0.040194
0.870000 0.040194 0.040194
0.880000 0.040194 0.040194
0.890000 0.040195 0.040195
0.900000 0.040196 0.040196
0.910000 0.040195 0.040195
0.920000 0.040195 0.040195
0.930000 0.040194 0.040194
0.940000 0.040196 0.040196
0.950000 0.040198 0.040198
0.960000 0.040195 0.040195
0.970000 0.040194 0.040194
0.980000 0.040194 0.040194
0.990000 0.040194 0.040194
1.000000 0.040198 0.040198
1.010000 0.040196 0.040196
1.020000 0.040195 0.040195
1.030000 0.040197 0.040197
1.040000 0.040196 0.040196
1.050000 0.040198 0.040198
1.060000 0.040193 0.040193
1.070000 0.040195 0.040195
1.080000 0.040196 0.040196
1.090000 0.040197 0.040197
1.100000 0.040195 0.040195
1.110000 0.040196 0.040196
1.120000 0.040195 0.040195
1.130000 0.040195 0.040195
1.140000 0.040195 0.040195
1.150000 0.040195 0.040195
1.160000 0.040197 0.040197
1.170000 0.040196 0.040196
1.180000 0.040196 0.040196
1.190000 0.040196 0.040196
1.200000 0.040196 0.040196
1.210000 0.040197 0.040197
1.220000 0.040194 0.040194
1.230000 0.040197 0.040197
1.240000 0.040194 0.040194
1.250000 0.040195 0.040195
1.260000 0.040196 0.040196
1.270000 0.040197 0.040197
1.280000 0.040198 0.040198
1.290000 0.040193 0.040193
1.300000 0.040197 0.040197
1.310000 0.040196 0.040196
1.320000 0.040195 0.040195
1.330000 0.040209 0.040209
1.340000 0.040205 0.040205
1.350000 0.040210 0.040210
1.360000 0.040207 0.040207
1.370000 0.040211 0.040211
1.380000 0.040203 0.040203
1.390000 0.040196 0.040196
1.400000 0.040195 0.040195
1.410000 0.040198 0.040198
1.420000 0.040194 0.040194
1.430000 0.040194 0.040194
1.440000 0.040196 0.040196
1.450000 0.040197 0.040197
1.460000 0.040196 0.040196
1.470000 0.040197 0.040197
1.480000 0.040198 0.040198
1.490000 0.040195 0.040195
1.500000 0.040195 0.040195
1.510000 0.040196 0.040196
1.520000 0.040196 0.040196
1.530000 0.040198 0.040198
1.540000 0.040196 0.040196
1.550000 0.040197 0.040197
1.560000 0.040196 0.040196
1.570000 0.040196 0.040196
1.580000 0.040195 0.040195
1.590000 0.040197 0.040197
1.600000 0.040195 0.040195
1.610000 0.040197 0.040197
1.620000 0.040195 0.040195
1.630000 0.040197 0.040197
1.640000 0.040195 0.040195
1.650000 0.040194 0.040194
1.660000 0.040198 0.040198
1.670000 0.040196 0.040196
1.680000 0.040197 0.040197
1.690000 0.040195 0.040195
1.700000 0.040199 0.040199
1.710000 0.040197 0.040197
1.720000 0.040196 0.040196
1.730000 0.040197 0.040197
1.740000 0.040197 0.040197
1.750000 0.040195 0.040195
1.760000 0.040196 0.040196
1.770000 0.040198 0.040198
1.780000 0.040198 0.040198
1.790000 0.040198 0.040198
1.800000 0.040197 0.040197
1.810000 0.040195 0.040195
1.820000 0.040198 0.040198
1.830000 0.040196 0.040196
1.840000 0.040193 0.040193
1.850000 0.040197 0.040197
1.860000 0.040198 0.040198
1.870000 0.040197 0.040197
1.880000 0.040198 0.040198
1.890000 0.040196 0.040196
1.900000 0.040199 0.040199
1.910000 0.040198 0.040198
1.920000 0.040197 0.040197
1.930000 0.040196 0.040196
1.940000 0.040195 0.040195
1.950000 0.040195 0.040195
1.960000 0.040196 0.040196
